study_id,file_path,checksum_sha256,status,category,last_verified,note
ST-001,studies/master_studies/MODAMODA_INVISIBLE_MANNEQUIN_MASTER_STUDY.md,a969f893bf318611430ff5d47abe3a526fbd6e81637f58a90849c675d12aacf2,canonical,master_studies,2025-11-05,Primary master study
ST-001,studies/master_studies/Comprehensive Analysis of the "Invisible Mannequin" Project.md,1c906453b49915d03bcaf99c73241769b293d92ea812d885226bd7ef7f3fae13,alias,master_studies,2025-11-05,Deprecated - use ST-001 canonical
ST-002,studies/master_studies/DEVELOPMENT_ROADMAP.md,d0b8f565f23a8953526fbd85176c5b5cebe9d9fde8f8d059986ad352df2d6b00,canonical,master_studies,2025-11-05,Development roadmap
ST-005,studies/master_studies/BUSINESS_ANALYSIS.md,caf8aacf86b0a84f7dc970e87ac0d2d708417be6ea3ef9fea6923c18ee6dbcd0,canonical,master_studies,2025-11-05,Business analysis
ST-005,studies/business_analysis/01_تحليل_السوق_والاستراتيجية_التنافسية_المحسن.md,a9a989362c881e237e1a7f77301a87685e16fd4e5ed2e9196e76a8ecf7cc204c,alias,business_analysis,2025-11-05,Deprecated - use ST-005 canonical
ST-007,studies/technical_specs/03_الهيكلية_والمكدس_التقني_المحسن.md,8a498fb00debf43871f9c298e200ddc575555ccb642f38adc176c184ab93d655,canonical,technical_specs,2025-11-05,Technical architecture
ST-007,studies/master_studies/TECHNICAL_SPECIFICATION.md,8b309492331b65ad605d11b498e397c4c2f868691fe3d5ed07e19c14ff14ce3e,alias,master_studies,2025-11-05,Deprecated - use ST-007 canonical
ST-008,studies/core_strategy/00_الملخص_التنفيذي_الشامل_المحسن.md,e46f522a07331ddaeddf411fc282658c92d21a8523daff65ea9b0ab9868a4823,canonical,core_strategy,2025-11-05,Executive summary
ST-011,studies/implementation_phases/05_خارطة_الطريق_المنهجية_المحسن.md,0aea2d29a8e1bcb5185515333a8c04d59d87493f2079d24b0e7e371496c1d571,canonical,implementation_phases,2025-11-05,Implementation roadmap
ST-011,studies/implementation_phases/methodical_development_plan.md,c7fb66f1d8495b9c4b1275e122852862bd52c30ffbd0eea9df752c59b22ebe04,alias,implementation_phases,2025-11-05,Deprecated - use ST-011 canonical
ST-011,studies/implementation_phases/mvp_professional_study.md,34642450bf36a2e2f599442fc046e2f4cc45159e435a9313804aad9f093afb5d,alias,implementation_phases,2025-11-05,Deprecated - use ST-011 canonical
ST-011,studies/implementation_phases/v1_0_professional_study.md,c065b4c9cd7e4a1e87648d06fc5e313b5252458edb4278c75030aa586a464850,alias,implementation_phases,2025-11-05,Deprecated - use ST-011 canonical
ST-011,studies/implementation_phases/v1_1_b2b_professional_study.md,0dbbffb61d8fa4dd62e68ff7eeb44668bf210fa9bbcfcde32021ae7ca35e98e1,alias,implementation_phases,2025-11-05,Deprecated - use ST-011 canonical
ST-013,studies/technical_specs/04_استراتيجية_نموذج_الذكاء_الاصطناعي_الأساسي_المحسن.md,2d1e470ceac2b2ff34a24ea2e529f04dbd056c2491bc92b9b89592142e45b65a,canonical,technical_specs,2025-11-05,AI model strategy
ST-013,studies/technical_specs/ai_model_strategy_axis5.md,22a59795398cd0c679ba253cb2113fbec5fe96baed5a363124513c8de796bf4c,alias,technical_specs,2025-11-05,Deprecated - use ST-013 canonical
ST-014,studies/business_analysis/06_المخطط_التشغيلي_والمالي_المحسن.md,3c8919d038b0f31c4b2187d0a22b7e2ac3df96e070a35dffc0c17e227a70a39e,canonical,business_analysis,2025-11-05,Financial plan
ST-014,studies/business_analysis/market_open_source_axis4.md,8d002184c634008d2629842524cc8bafbfe79caaf131543db97a96988a77606a,alias,business_analysis,2025-11-05,Deprecated - use ST-014 canonical
ST-014,studies/business_analysis/numbers_operations_axis6.md,d3c309c6a7c3fb62a0587171193803b6038829a736ba21ed3d7a48da62c9cdd9,alias,business_analysis,2025-11-05,Deprecated - use ST-014 canonical
ST-015,studies/core_strategy/02_استراتيجية_نموذج_العمل_والانتشار_المحسن.md,2cc54cb65696fe93a76f85bebb71bd03b027d11658138e4f740a0483a1ce4cb2,canonical,core_strategy,2025-11-05,Business model strategy
ST-019,studies/MASTER_STUDIES_INDEX.md,16f20b1271a9ad659fc38e91c3e175de0ab19ae609cae2721ba47102efb93571,canonical,master_studies,2025-11-05,Studies navigation index
